"code","uri","label_en","label_fr"
"BO",,"Fishing boat","Bateau de pêche"
"MK",,"Fish market / auction hall","Marché au poisson / criée"
"PR",,"Fish processing plant","Usine de transformation de poisson"
"ST",,"Retail store","Point de vente au détail"
