"code","uri","label_en","label_fr"
"CC",,"Fish carrying capacity (m3)","Capacité de stockage de poissons (m3)"
"CT",,"Fish carrying capacity (t)","Capacité de stockage de poissons (t)"
"GR",,"Gross registered tonnage (Oslo IMO Convention)","Tonnage de jauge brute (Convention d'Oslo OMI)"
"GT",,"Gross tonnage (London IMO Convention)","Tonnage brut (Convention de Londres OMI)"
"LO",,"Length overall (m)","Longueur hors-tout (m)"
"LP",,"Length between perpendiculars (m)","Longueur entre perpendiculaires (m)"
