"code","uri","label_en","label_fr"
"AW",,"Adverse weather conditions","Conditions météorologiques défavorables"
"GL",,"Gear lost","Engin perdu"
"MB",,"Mechanical breakdown or inoperative gear","Panne mécanique ou engin inutilisable"
"OT",,"Unforeseen reason","Raison imprévue"
