"code","uri","label_en","label_fr"
"EM",,"Ecological cover","Couverture écologique"
"NC",,"No cover","Aucune couverture"
"NL",,"Net cover (<7 cm)","Couverture filet (<7 cm)"
"NM",,"Net cover (>7 cm)","Couverture filet (>7 cm)"
