"code","uri","label_en","label_fr"
"BL",,"Black","Noir"
"BU",,"Blue","Bleu"
"CL",,"Clear","Clair"
"GR",,"Green","Vert"
"GY",,"Grey","Gris"
"MU",,"Multi-colour","Multicolore"
"OT",,"Other","Autre"
"PK",,"Pink","Rose"
"RD",,"Red","Rouge"
"WH",,"White","Blanc"
