"code","uri","label_en","label_fr"
"AS",,"At sea disposal","Rejet en mer"
"IN",,"Incinerated","Incinéré"
"LD",,"Land disposal","Disposition à terre"
"OT",,"Other","Autre"
"RO",,"Retained on board","Retenu à bord"
"UK",,"Unknown","Inconnu"
