"code","uri","label_en","label_fr","definition_en","definition_fr"
"COM",,"Commercial","Commerciale","Fish is caught for commercial sale or export, including supply to processing or canning facilities","Poisson capturé pour la vente commerciale ou l’exportation, y compris l’approvisionnement des usines de transformation ou de conserverie"
"REC",,"Recreational","Récréative","Fish is caught for recreational or sport purposes only","Poisson capturé uniquement à des fins récréatives ou sportives"
"SAC",,"Subsistence and Commercial","Subsistance et Commerciale","Fish is used for household consumption and may also be sold locally, exported, or processed","Poisson destiné à la consommation des ménages et pouvant également être vendu localement, exporté ou transformé"
"SCI",,"Scientific","Scientifique","Fishery operates exclusively to collect scientific data or support training activities","Pêcherie exploitée exclusivement pour la collecte de données scientifiques ou la formation"
"SUB",,"Subsistence","Subsistance","Fish is used exclusively for household or fisher consumption","Poisson destiné exclusivement à la consommation des ménages ou des pêcheurs"
