"code","uri","label_en","label_fr"
"NL",,"Net tail (<7 cm)","Queue filet (<7 cm)"
"NM",,"Net tail (>7 cm)","Queue filet (>7 cm)"
"NS",,"Rolled net tail","Queue filet enroulée"
"RC",,"Rope and canvas tail","Queue cordes et toile"
"RO",,"Rope tail","Queue cordes"
