"code","uri","label_en","label_fr"
"CP",,"Cardboard and paper","Carton et papier"
"KW",,"Kitchen waste","Déchets de cuisine"
"MG",,"Metal and glass","Métal et verre"
"NB",,"Non-biodegradable fishing gear","Engin de pêche non-biodégradable"
"OF",,"Oil and fuel","Huile et carburant"
"OT",,"Other","Autre"
"PL",,"Plastic","Plastique"
