"code","uri","label_en","label_fr"
"IND",,"Industrial fisheries","Pêcheries industrielles"
"ART",,"Artisanal fisheries","Pêcheries artisanales"
"SI",,"Semi-industrial","Pêcheries semi-industrielles"
