"code","uri","label_en","label_fr"
"PSOT",,"Purse seine | Other",""
"PSFS",,"Purse seine | FS",""
"PSLS",,"Purse seine | LS",""
"LLO",,"Longline | Other",""
"LLF",,"Longline | Fresh",""
"LLD",,"Longline | Deep-freezing",""
"LIC",,"Line | Coastal longline",""
"LIT",,"Line | Trolling",""
"LIH",,"Line | Handline",""
"BB",,"Baitboat",""
"GN",,"Gillnet",""
"OT",,"Other",""
