"code","uri","label_en","label_fr"
"LB",,"Length measured using a measuring board","Longueur mesurée à l’ichthyomètre"
"LC",,"Length measured using a calliper","Longueur mesurée avec un pied à coulisse"
"LT",,"Length measured using a tape measure","Longueur mesurée au mètre ruban"
"WB",,"Weight measured using a spring scale","Poids mesuré au peson"
"WC",,"Weight measured using a supermarket scale","Poids mesuré à la balance commerciale"
"WE",,"Weight measured using an electronic scale","Poids mesuré à la balance électronique"
