"code","uri","label_en","label_fr"
"AD",,"Deployment of anchored FAD","Déploiement d’un DCP ancré"
"AH",,"Revisiting and towing of anchored FAD","Revisite et remorquage d’un DCP ancré"
"AL",,"Loss of anchored FAD (detached from anchorage point or damaged heavily)","Perte d’un DCP ancré (détaché de son mouillage ou fortement endommagé)"
"AR",,"Revisiting anchored FAD","Revisite d’un DCP ancré"
"DD",,"Deployment of drifting FAD","Déploiement d’un DCP dérivant"
"DH",,"Retrieval/encounter and hauling of drifting FAD","Récupération/rencontre et remontée d’un DCP dérivant"
"DI",,"Retrieval/encounter, hauling, and intervention on electronic equipment of drifting FAD","Récupération/rencontre, remontée et intervention sur l’équipement électronique d’un DCP dérivant"
"DL",,"Loss of drifting FAD (tracking signal lost)","Perte d’un DCP dérivant (signal de suivi perdu)"
"DR",,"Retrieval of drifting FAD ","DR-Récupération d’un DCP dérivant"
