"code","uri","label_en","label_fr","scientific_name","species_group_code","species_category_code","taxa_family","taxa_order","is_iotc","is_target","is_ssi","is_aggregate","is_asfis"
"ALB",,"Albacore","Germon","Thunnus alalunga","TUNAS","TEMPERATE","Scombridae","Scombroidei",1,1,0,0,1
"ALI",,"Lancetfishes nei",,"Alepisaurus spp","OTHERS","OTHERS","Alepisauridae","Aulopiformes",0,1,0,1,1
"ALM",,"Unicorn leatherjacket filefish","Bourse loulou","Aluterus monoceros","OTHERS","OTHERS","Monacanthidae","Tetraodontiformes",0,0,0,0,1
"ALN",,"Scribbled leatherjac. filefish","Bourse écriture","Aluterus scriptus","OTHERS","OTHERS","Monacanthidae","Tetraodontiformes",0,0,0,0,1
"ALO",,"Short snouted lancetfish","Lancier à nez court","Alepisaurus brevirostris","OTHERS","OTHERS","Alepisauridae","Aulopiformes",0,1,0,0,1
"ALS",,"Silvertip shark","Requin pointe blanche","Carcharhinus albimarginatus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"ALT",,"Leatherjacket filefishes",,"Aluterus spp","OTHERS","OTHERS","Monacanthidae","Tetraodontiformes",0,0,0,1,1
"ALV",,"Thresher","Renard","Alopias vulpinus","ELASMOBRANCHS","SHARKS","Alopiidae","Lamniformes",0,1,1,0,1
"ALX",,"Long snouted lancetfish","Lancier longnez","Alepisaurus ferox","OTHERS","OTHERS","Alepisauridae","Aulopiformes",0,1,0,0,1
"ALZ",,"Albatrosses nei","Albatros nca","Diomedeidae","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,1,1
"AMB",,"Greater amberjack","Sériole couronnée","Seriola dumerili","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
"AML",,"Grey reef shark","Requin dagsit","Carcharhinus amblyrhynchos","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,0,0,0,1
"AMX",,"Amberjacks nei","Sérioles nca","Seriola spp","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,1,1
"ANX",,"Anchovies, etc. nei","Anchois, etc. nca","Engraulidae","OTHERS","OTHERS","Engraulidae","Clupeiformes",0,0,0,1,1
"APO",,"Cardinalfishes, etc. nei","Apogonidés nca","Apogonidae","OTHERS","OTHERS","Apogonidae","Percoidei",0,1,0,1,1
"ASM",,"Australian spotted mackerel","Thazard australien","Scomberomorus munroi","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,0,1
"ASZ",,"Razorback scabbardfish","Poisson-sabre rasoir","Assurger anzac","OTHERS","OTHERS","Trichiuridae","Scombroidei",0,1,0,0,1
"ATY",,"Coral catshark","Chien corail","Atelomycterus marmoratus","ELASMOBRANCHS","SHARKS","Atelomycteridae","Carcharhiniformes",0,0,0,0,1
"AVR",,"Green jobfish","Vivaneau job","Aprion virescens","OTHERS","OTHERS","Lutjanidae","Percoidei",0,0,0,0,1
"BAB",,"Blackfin barracuda",,"Sphyraena qenie","OTHERS","OTHERS","Sphyraenidae","Other perciformes",0,0,0,0,1
"BAF",,"Flat needlefish","Orphie plate","Ablennes hians","OTHERS","OTHERS","Belonidae","Beloniformes",0,0,0,0,1
"BAO",,"Longfin batfish","Platax à longues nageoires","Platax teira","OTHERS","OTHERS","Ephippidae","Acanthuroidei",0,0,0,0,1
"BAR",,"Barracudas nei","Bécunes nca","Sphyraena spp","OTHERS","OTHERS","Sphyraenidae","Other perciformes",0,1,0,1,1
"BAT",,"Batfishes","Poules d'eau","Platax spp","OTHERS","OTHERS","Ephippidae","Acanthuroidei",0,0,0,1,1
"BAU",,"Australian bonito","Bonite bagnard","Sarda australis","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"BAW",,"Arnoux's beaked whale","Béradien d'Arnoux","Berardius arnuxii","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"BBM",,"Broad-barred king mackerel","Thazard tigré","Scomberomorus semifasciatus","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,0,1
"BBW",,"Blainville's beaked whale","Baleine à bec de Blainville","Mesoplodon densirostris","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"BCW",,"Cuvier's beaked whale","Ziphius","Ziphius cavirostris","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"BDL",,"Elongate frostfish","Poisson-sabre long","Benthodesmus elongatus","OTHERS","OTHERS","Trichiuridae","Scombroidei",0,,0,0,1
"BDW",,"Andrews' beaked whale","Baleine à bec de Bowdoin","Mesoplodon bowdoini","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"BEA",,"Eaton's skate","Raie d'Eaton","Bathyraja eatonii","ELASMOBRANCHS","RAYS","Arhynchobatidae","Rajiformes",0,0,0,0,1
"BEN",,"Needlefishes, etc. nei","Aiguilles, orphies nca","Belonidae","OTHERS","OTHERS","Belonidae","Beloniformes",0,0,0,1,1
"BET",,"Bigeye tuna","Thon obèse(=Patudo)","Thunnus obesus","TUNAS","TROPICAL","Scombridae","Scombroidei",1,1,0,0,1
"BFT",,"Atlantic bluefin tuna","Thon rouge de l'Atlantique","Thunnus thynnus","TUNAS","TEMPERATE","Scombridae","Scombroidei",0,1,0,0,1
"BHW",,"Hector's beaked whale","Baleine à bec d'Hector","Mesoplodon hectori","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"BIL",,"Marlins,sailfishes,etc. nei","Makaires,marlins,voiliers nca","Istiophoridae","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",1,1,0,1,1
"BIP",,"Striped bonito","Bonite oriental","Sarda orientalis","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"BIS",,"Bigeye scad","Sélar coulisou","Selar crumenophthalmus","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
"BLM",,"Black marlin","Makaire noir","Istiompax indica","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",1,1,1,0,1
"BLR",,"Blacktip reef shark","Requin pointes noires","Carcharhinus melanopterus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"BLT",,"Bullet tuna","Bonitou","Auxis rochei","TUNAS","NERITIC","Scombridae","Scombroidei",1,1,0,0,1
"BLW",,"Blue whale","Rorqual bleu","Balaenoptera musculus","OTHERS","CETACEANS","Balaenopteridae","Mysticeti",0,0,1,0,1
"BNW",,"Longman's beaked whale","Baleine à bec de Longman","Indopacetus pacificus","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"BOC",,"Boarfish","Sanglier","Capros aper","OTHERS","OTHERS","Caproidae","Zeiformes",0,1,0,0,1
"BOG",,"Bogue","Bogue","Boops boops","OTHERS","OTHERS","Sparidae","Percoidei",0,1,0,0,1
"BON",,"Atlantic bonito","Bonite à dos rayé","Sarda sarda","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"BRA",,,,"Brama spp","OTHERS","OTHERS","Bramidae","Percoidei",0,1,0,1,1
"BRO",,"Copper shark","Requin cuivre","Carcharhinus brachyurus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"BRW",,"Bryde's whale","Rorqual de Bryde","Balaenoptera edeni","OTHERS","CETACEANS","Balaenopteridae","Mysticeti",0,0,1,0,1
"BRZ",,"Pomfrets, ocean breams nei","Castagnoles nca","Bramidae","OTHERS","OTHERS","Bramidae","Percoidei",0,1,0,1,1
"BSH",,"Blue shark","Peau bleue","Prionace glauca","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"BSK",,"Basking shark","Pèlerin","Cetorhinus maximus","ELASMOBRANCHS","SHARKS","Cetorhinidae","Lamniformes",0,1,0,0,1
"BSR",,"Brazilian sardinella","Sardinelle de Brésil","Sardinella brasiliensis","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,1,0,0,1
"BSW",,"Sherpherd's beaked whale","Tasmacète","Tasmacetus shepherdi","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"BSX",,"Groupers, seabasses nei","Serranidés nca","Serranidae","OTHERS","OTHERS","Serranidae","Percoidei",0,1,0,1,1
"BTH",,"Bigeye thresher","Renard à gros yeux","Alopias superciliosus","ELASMOBRANCHS","SHARKS","Alopiidae","Lamniformes",0,1,1,0,1
"BTS",,"Hound needlefish","Aiguille crocodile","Tylosurus crocodilus","OTHERS","OTHERS","Belonidae","Beloniformes",0,0,0,0,1
"BUK",,"Butterfly kingfish","Thon papillon","Gasterochisma melampus","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"BUM",,"Blue marlin","Makaire bleu","Makaira nigricans","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",1,1,1,0,1
"BVV",,"Yellowmouth barracuda","Bécune bouche jaune","Sphyraena viridensis","OTHERS","OTHERS","Sphyraenidae","Other perciformes",0,0,0,0,1
"BXD",,"Alfonsino","Béryx commun","Beryx decadactylus","OTHERS","OTHERS","Berycidae","Beryciformes",0,0,0,0,1
"BXQ",,"Marlins nei","Makaires nca","Makaira spp","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",1,0,0,1,1
"BYW",,"Gray's beaked whale","Baleine à bec de Gray","Mesoplodon grayi","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"CAT",,"Wolffishes(=Catfishes) nei","Loups nca","Anarhichas spp","OTHERS","OTHERS","Anarhichadidae","Zoarcoidei",0,0,0,1,1
"CBG",,"Driftfish","Dérivant","Cubiceps gracilis","OTHERS","OTHERS","Nomeidae","Scombriformes (stromateoidei)",0,0,0,0,1
"CCA",,"Bignose shark","Requin babosse","Carcharhinus altimus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCB",,"Spinner shark","Requin tisserand","Carcharhinus brevipinna","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCC",,"Nervous shark","Requin nerveux","Carcharhinus cautus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,0,0,0,1
"CCD",,"Whitecheek shark","Requin à joues blanches","Carcharhinus dussumieri","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCE",,"Bull shark","Requin bouledogue","Carcharhinus leucas","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCG",,"Galapagos shark","Requin des Galapagos","Carcharhinus galapagensis","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCI",,"Blackspot shark","Requin à tache noir","Carcharhinus sealei","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,0,0,0,1
"CCL",,"Blacktip shark","Requin bordé","Carcharhinus limbatus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCM",,"Hardnose shark","Requin à nez rude","Carcharhinus macloti","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCO",,"Finetooth shark","Requin à petites dents","Carcharhinus isodon","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,0,0,0,1
"CCP",,"Sandbar shark","Requin gris","Carcharhinus plumbeus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCQ",,"Spottail shark","Requin à queue tachetée","Carcharhinus sorrah","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CCY",,"Graceful shark","Requin gracile","Carcharhinus amblyrhynchoides","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CEM",,"Smallfin gulper shark","Squale-chagrin cagaou","Centrophorus moluccensis","ELASMOBRANCHS","SHARKS","Centrophoridae","Squaliformes",0,1,0,0,1
"CEO",,"Rudderfish","Centrolophe noir","Centrolophus niger","OTHERS","OTHERS","Centrolophidae","Stromateoidei, anabantoidei",0,1,0,0,1
"CEP",,"Cephalopods nei","Céphalopodes nca","Cephalopoda","OTHERS","OTHERS",,"Cephalopoda",0,0,0,1,1
"CFW",,"Pompano dolphinfish",,"Coryphaena equiselis","OTHERS","OTHERS","Coryphaenidae","Percoidei",0,1,0,0,1
"CGD",,"Burmese river gizzard shad",,"Gonialosa modesta","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,0,0,0,1
"CGX",,"Carangids nei","Carangidés nca","Carangidae","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,1,1
"CHP",,"Pacific sardine","Sardine du Pacifique","Sardinops sagax","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,1,0,0,1
"CJX",,"Fusiliers nei","Fusiliers nca","Caesionidae","OTHERS","OTHERS","Caesionidae","Percoidei",0,1,0,0,1
"CLD",,"Sliteye shark","Requin sagrin","Loxodon macrorhinus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"CLP",,"Herrings, sardines nei","Harengs, sardines nca","Clupeidae","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,1,0,1,1
"CMD",,"Commerson's dolphin","Dauphin de Commerson","Cephalorhynchus commersonii","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"CNT",,"Rough triggerfish","Baliste rude","Canthidermis maculata","OTHERS","OTHERS","Balistidae","Tetraodontiformes",0,1,0,0,1
"COM",,"Narrow-barred Spanish mackerel","Thazard rayé indo-pacifique","Scomberomorus commerson","SEERFISH","SEERFISH","Scombridae","Scombroidei",1,1,0,0,1
"CPM",,"Pygmy right whale","Baleine pygmée","Caperea marginata","OTHERS","CETACEANS","Neobalaenidae","Mysticeti",0,0,1,0,1
"CPT",,"Australian swellshark","Holbiche gressouillette","Cephaloscyllium laticeps","OTHERS","OTHERS","Scyliorhinidae","Carcharhiniformes",0,0,0,0,1
"CPU",,"Little gulper shark","Petit squale-chagrin","Centrophorus uyato","ELASMOBRANCHS","SHARKS","Centrophoridae","Squaliformes",0,1,0,0,1
"CTU",,"Gummy shark","Émissole gommée","Mustelus antarcticus","ELASMOBRANCHS","SHARKS","Triakidae","Carcharhiniformes",0,1,0,0,1
"CUP",,"","","Cubiceps spp","OTHERS","OTHERS","Nomeidae","Scombriformes (stromateoidei)",0,0,0,1,1
"CUT",,"Hairtails, scabbardfishes nei","Poissons-sabres, sabres nca","Trichiuridae","OTHERS","OTHERS","Trichiuridae","Scombroidei",0,1,0,1,1
"CVX",,"Ground sharks",,"Carcharhiniformes","ELASMOBRANCHS","SHARKS",,"Carcharhiniformes",0,0,0,1,1
"CWZ",,"Carcharhinus sharks nei","Requins Carcharhinus nca","Carcharhinus spp","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,1,1
"CXS",,"Bigeye trevally","Carangue vorace","Caranx sexfasciatus","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,0,1
"CYT",,"Ornate dogfish","Aiguillat élégant","Centroscyllium ornatum","ELASMOBRANCHS","SHARKS","Etmopteridae","Squaliformes",0,1,0,0,1
"DAC",,"Cape petrel","Damier du Cap","Daption capense","OTHERS","SEABIRDS","Procellariidae","Procellariiformes",0,0,1,0,1
"DAM",,"Amsterdam Island albatross","Albatros de l'île d'Amsterdam","Diomedea amsterdamensis","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DBM",,"Double-lined mackerel","Thazard-kusara","Grammatorcynus bilineatus","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,0,1
"DBN",,"Tristan albatross","Albatros de Tristan","Diomedea dabbenena","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DBO",,"Bottlenose dolphin","Grand dauphin","Tursiops truncatus","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"DCO",,"Common dolphin","Dauphin commun","Delphinus delphis","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"DCR",,"Atlant. yellow-nosed albatross","Albatros à nez jaune","Thalassarche chlororhynchos","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DCU",,"Shy albatross","Albatros timide","Thalassarche cauta","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DDD",,"Indo-Pacific sergeant",,"Abudefduf vaigiensis","OTHERS","OTHERS","Pomacentridae","Percoidei",0,0,0,0,1
"DDU",,"Dusky dolphin","Dauphin sombre","Lagenorhynchus obscurus","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"DER",,"Chatham Islands albatross","Albatros des Chatham","Thalassarche eremita","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DGZ",,"Dogfishes nei","Aiguillats nca","Squalus spp","ELASMOBRANCHS","SHARKS","Squalidae","Squaliformes",0,1,0,1,1
"DHI",,"Indo-Pac. hump-backed dolphin","Dauphin à bosse indo-pacifique","Sousa chinensis","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"DHO",,"Longspined porcupinefish","Porc-épic ballon","Diodon holocanthus","OTHERS","OTHERS","Diodontidae","Tetraodontiformes",0,,0,0,1
"DIB",,"Buller's albatross","Albatros de Buller","Thalassarche bulleri","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DIC",,"Grey-headed albatross","Albatros à tête grise","Thalassarche chrysostoma","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DIM",,"Black-browed albatross","Albatros à sourcils noirs","Thalassarche melanophris","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DIO",,"Globefish, porcupine fish","Porcs-épics","Diodontidae","OTHERS","OTHERS","Diodontidae","Tetraodontiformes",0,1,0,1,1
"DIP",,"Southern royal albatross","Albatros royal","Diomedea epomophora","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DIQ",,"Northern royal albatross","Albatros royal du Nord","Diomedea sanfordi","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DIX",,"Wandering albatross","Albatros hurleur","Diomedea exulans","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DIY",,"Spotted porcupinefish","Porc-épic boubou","Diodon hystrix","OTHERS","OTHERS","Diodontidae","Tetraodontiformes",0,0,0,0,1
"DKK",,"Leatherback turtle","Tortue luth","Dermochelys coriacea","OTHERS","TURTLES","Dermochelyidae","Testudines",0,0,1,0,1
"DKS",,"Salvin's albatross","Albatros de Salvin","Thalassarche salvini","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DLP",,"Dolphins nei","Dauphins nca","Delphinidae","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,1,1
"DOB ",,"Dorab wolf-herring","Chirocentre dorab","Chirocentrus dorab","OTHERS","OTHERS","Chirocentridae","Clupeiformes",0,0,0,0,1
"DOL",,"Common dolphinfish","Coryphène commune","Coryphaena hippurus","OTHERS","OTHERS","Coryphaenidae","Percoidei",0,1,0,0,1
"DOP",,"Shortnose spurdog","Aiguillat nez court","Squalus megalops","ELASMOBRANCHS","SHARKS","Squalidae","Squaliformes",0,1,0,0,1
"DOT",,"Dogtooth tuna","Bonite à gros yeux","Gymnosarda unicolor","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"DOX",,"Dolphinfishes nei","Coryphènes nca","Coryphaenidae","OTHERS","OTHERS","Coryphaenidae","Percoidei",0,1,0,1,1
"DPN",,"Pantropical spotted dolphin","Dauphin tacheté pantropical","Stenella attenuata","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"DQP",,"Pomfrets nei",,"Taractichthys spp","OTHERS","OTHERS","Bramidae","Percoidei",0,0,0,1,1
"DQS",,"Antipodean albatross","Albatros des antipodes","Diomedea antipodensis","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"DRR",,"Risso's dolphin","Grampus","Grampus griseus","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"DSI",,"Spinner dolphin","Dauphin longirostre","Stenella longirostris","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"DSP",,"Spotted dolphins nei","Dauphins tachetés nca","Stenella spp","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,1,1
"DST",,"Striped dolphin","Dauphin bleu et blanc","Stenella coeruleoalba","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"DUS",,"Dusky shark","Requin de sable","Carcharhinus obscurus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"DWW",,"Dwarf sperm whale","Cachalot nain","Kogia sima","OTHERS","CETACEANS","Kogiidae","Odontoceti",0,0,1,0,1
"EAG",,"Eagle rays nei","Aigles de mer nca","Myliobatidae","ELASMOBRANCHS","RAYS","Myliobatidae","Myliobatiformes",0,0,0,1,1
"ECN",,"Suckerfishes, remoras nei","Rémoras nca","Echeneidae","OTHERS","OTHERS","Echeneidae","Percoidei",0,0,0,1,1
"EEA",,"Blacktip grouper","Mérou oriflamme","Epinephelus fasciatus","OTHERS","OTHERS","Epinephelidae","Perciformes (percoidei)",0,0,0,0,1
"EEN",,"Giant grouper","Mérou lancéolé","Epinephelus lanceolatus","OTHERS","OTHERS","Serranidae","Percoidei",0,,0,0,1
"EHN",,"Live sharksucker","Rémora commun","Echeneis naucrates","OTHERS","OTHERS","Echeneidae","Percoidei",0,1,0,0,1
"EIR",,"Threespot grouper","Mérou trois taches","Epinephelus trimaculatus","OTHERS","OTHERS","Epinephelidae","Perciformes (percoidei)",0,0,0,0,1
"EJA",,"Needle cuttlefish","Seiche aiguille","Sepia aculeata","OTHERS","OTHERS","Sepiidae","Cephalopoda",0,1,0,0,1
"ENR",,"Anchovies nei","Anchois nca","Engraulis spp","OTHERS","OTHERS","Engraulidae","Clupeiformes",0,1,0,1,1
"EUA",,"Southern right whale","Baleine australe","Eubalaena australis","OTHERS","CETACEANS","Balaenidae","Mysticeti",0,0,1,0,1
"EUB",,"Winghead shark",,"Eusphyra blochii","ELASMOBRANCHS","SHARKS","Sphyrnidae","Carcharhiniformes",0,1,0,0,1
"FAL",,"Silky shark","Requin soyeux","Carcharhinus falciformis","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"FAW",,"False killer whale","Faux-orque","Pseudorca crassidens","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"FBT",,"Flatback turtle","Tortue plate","Natator depressus","OTHERS","TURTLES","Cheloniidae","Testudines",0,0,1,0,1
"FIW",,"Fin whale","Rorqual commun","Balaenoptera physalus","OTHERS","CETACEANS","Balaenopteridae","Mysticeti",0,0,1,0,1
"FLE",,"European flounder","Flet d'Europe","Platichthys flesus","OTHERS","OTHERS","Pleuronectidae","Pleuronectiformes",0,0,0,0,1
"FLY",,"Flyingfishes nei","Exocets nca","Exocoetidae","OTHERS","OTHERS","Exocoetidae","Beloniformes",0,0,0,1,1
"FRD",,"Fraser's dolphin","Dauphin de Fraser","Lagenodelphis hosei","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"FRI",,"Frigate tuna","Auxide","Auxis thazard","TUNAS","NERITIC","Scombridae","Scombroidei",1,1,0,0,1
"FRZ",,"Frigate and bullet tunas","Auxide et bonitou","Auxis thazard, A. rochei","TUNAS","NERITIC","Scombridae","Scombroidei",1,1,0,1,1
"GAG",,"Tope shark","Requin-hâ","Galeorhinus galeus","ELASMOBRANCHS","SHARKS","Triakidae","Carcharhiniformes",0,1,0,0,1
"GAM",,"Mouse catshark","Chien islandais","Galeus murinus","ELASMOBRANCHS","SHARKS","Pentanchidae","Carcharhiniformes",0,1,0,0,1
"GBA",,"Great barracuda","Barracuda","Sphyraena barracuda","OTHERS","OTHERS","Sphyraenidae","Other perciformes",0,1,0,0,1
"GEP",,"Snake mackerels, escolars nei","Escoliers, rouvets nca","Gempylidae","OTHERS","OTHERS","Gempylidae","Scombroidei",0,1,0,1,1
"GES",,"Snake mackerel","Escolier serpent","Gempylus serpens","OTHERS","OTHERS","Gempylidae","Scombroidei",0,1,0,0,1
"GLO",,"Pilot whales NEI","","Globicephala spp","OTHERS","CETACEANS","Delphinidae","Cetacea (odontoceti)",0,0,1,1,1
"GLT",,"Golden trevally","Carangue royale","Gnathanodon speciosus","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,0,1
"GNC",,"Nurse shark","Requin-nourrice","Ginglymostoma cirratum","ELASMOBRANCHS","SHARKS","Ginglymostomatidae","Orectolobiformes",0,0,0,0,1
"GRO",,"Groundfishes nei","Poissons de fond nca","Actinopterygii","OTHERS","OTHERS",,"Pisces miscellanea",0,0,0,1,1
"GSE",,"Goldenstriped soapfish",,"Grammistes sexlineatus","OTHERS","OTHERS","Serranidae","Percoidei",0,,0,0,1
"GTF",,"Guitarfishes, etc. nei","Guitares, etc. nca","Rhinobatidae","OTHERS","OTHERS","Rhinobatidae","Rhinopristiformes",0,1,0,1,1
"GUQ",,"Leafscale gulper shark","Squale-chagrin de l'Atlantique","Centrophorus squamosus","OTHERS","OTHERS","Centrophoridae","Squaliformes",0,1,0,0,1
"GUT",,"Indo-Pacific king mackerel","Thazard ponctué indo-pacifique","Scomberomorus guttatus","SEERFISH","SEERFISH","Scombridae","Scombroidei",1,1,0,0,1
"GZX",,"Toothponies nei",,"Gazza spp","OTHERS","OTHERS","Leiognathidae","Percoidei",0,0,0,1,1
"HAY",,"Lined catshark","Holbiche des plages","Halaelurus lineatus","ELASMOBRANCHS","SHARKS","Pentanchidae","Carcharhiniformes",0,1,0,0,1
"HCM",,"Hooktooth shark","Milandre harpon","Chaenogaleus macrostoma","ELASMOBRANCHS","SHARKS","Hemigaleidae","Carcharhiniformes",0,1,0,0,1
"HEE",,"Snaggletooth shark",,"Hemipristis elongata","ELASMOBRANCHS","SHARKS","Hemigaleidae","Carcharhiniformes",0,1,0,0,1
"HRD",,"Hourglass dolphin","Dauphin crucigére","Lagenorhynchus cruciger","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"HUW",,"Humpback whale","Baleine à bosse","Megaptera novaeangliae","OTHERS","CETACEANS","Balaenopteridae","Mysticeti",0,0,1,0,1
"HXN",,"Bigeyed sixgill shark","Requin-vache","Hexanchus nakamurai","ELASMOBRANCHS","SHARKS","Hexanchidae","Hexanchiformes",0,1,0,0,1
"HXT",,"Sharpnose sevengill shark","Requin perlon","Heptranchias perlo","ELASMOBRANCHS","SHARKS","Hexanchidae","Hexanchiformes",0,1,0,0,1
"HXW",,"Frilled and cow sharks",,"Hexanchiformes","ELASMOBRANCHS","SHARKS",,"Hexanchiformes",0,1,0,1,1
"IAX",,"Cuttlefishes nei","Seiches nca","Sepia spp","OTHERS","OTHERS","Sepiidae","Cephalopoda",0,0,0,0,1
"IRD",,"Irrawaddy dolphin","Orcelle","Orcaella brevirostris","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"ISB",,"Cookie cutter shark","Squalelet féroce","Isistius brasiliensis","OTHERS","OTHERS","Dalatiidae","Squaliformes",0,1,0,0,1
"JAA",,"Blue jack mackerel","Chinchard du large","Trachurus picturatus","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
"JAN",,"Japanese anchovy","Anchois japonais","Engraulis japonicus","OTHERS","OTHERS","Engraulidae","Clupeiformes",0,1,0,0,1
