"code","uri","label_en","label_fr","scientific_name","species_group_code","species_category_code","taxa_family","taxa_order","is_iotc","is_target","is_ssi","is_aggregate","is_asfis"
"RNJ",,"Blackbanded trevally","Sériole amourez","Seriolina nigrofasciata","OTHERS","OTHERS","Carangidae","Carangiformes (carangoidei)",0,0,0,0,1
"RRH",,"Red-eye round herring","Shadine ronde","Etrumeus teres","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,0,0,0,1
"RRU",,"Rainbow runner","Comète saumon","Elagatis bipinnulata","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
"RSA",,"Japanese scad","Comète japonaise","Decapterus maruadsi","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
"RSK",,"Requiem sharks nei","Requins nca","Carcharhinidae","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,1,1
"RSW",,"Southern right whale dolphin","Dauphin aptère austral","Lissodelphis peronii","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"RTD",,"Rough-toothed dolphin","Sténo","Steno bredanensis","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"RUS",,"Indian scad","Comète indienne","Decapterus russelli","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
"RUV",,"Patchwork stingaree",,"Urolophus flavomosaicus","OTHERS","OTHERS","Urolophidae","Myliobatiformes",0,0,0,0,1
"RXP",,"Royal escolar","Escolier royal","Rexea prometheoides","OTHERS","OTHERS","Gempylidae","Scombroidei",0,1,0,0,1
"RZV",,"Slender sunfish","Ranzania","Ranzania laevis","OTHERS","OTHERS","Molidae","Tetraodontiformes",0,1,0,0,1
"SAA",,"Round sardinella","Allache","Sardinella aurita","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,1,0,0,1
"SAE",,"Madeiran sardinella","Grande allache","Sardinella maderensis","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,1,0,0,1
"SAG",,"Goldstripe sardinella","Sardinelle dorée","Sardinella gibbosa","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,0,0,0,1
"SAI",,"Atlantic sailfish","Voilier de l'Atlantique","Istiophorus albicans","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",0,1,0,0,1
"SAP",,"Pacific saury","Balaou du Japon","Cololabis saira","OTHERS","OTHERS","Scomberesocidae","Beloniformes",0,1,0,0,1
"SAX",,"Sauries nei","Balaous, bananes de mer nca","Scomberesocidae","OTHERS","OTHERS","Scomberesocidae","Beloniformes",0,1,0,1,1
"SBF",,"Southern bluefin tuna","Thon rouge du Sud","Thunnus maccoyii","TUNAS","TEMPERATE","Scombridae","Scombroidei",1,1,0,0,1
"SBL",,"Bluntnose sixgill shark","Requin griset","Hexanchus griseus","ELASMOBRANCHS","SHARKS","Hexanchidae","Hexanchiformes",0,1,0,0,1
"SCK",,"Kitefin shark","Squale liche","Dalatias licha","ELASMOBRANCHS","SHARKS","Dalatiidae","Squaliformes",0,1,0,0,1
"SEK",,"South African fur seal","Otarie du Cap","Arctocephalus pusillus","OTHERS","OTHERS","OTARIIDAE","PINNIPEDIA",0,0,1,0,1
"SFA",,"Indo-Pacific sailfish","Voilier indo-pacifique","Istiophorus platypterus","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",1,1,1,0,1
"SHL",,"Lanternsharks NEI","Sagres NCA","Etmopterus spp","ELASMOBRANCHS","SHARKS","Etmopteridae","Squaliformes",0,0,0,1,1
"SHM",,"Shark mackerel","Thazard requin","Grammatorcynus bicarinatus","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,0,1
"SHW",,"Short-finned pilot whale","Globicéphale tropical","Globicephala macrorhynchus","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"SIL",,"Silversides(=Sand smelts) nei","Athérinidés nca","Atherinidae","OTHERS","OTHERS","Atherinidae","Atheriniformes",0,1,0,1,1
"SKH",,"Various sharks nei","Requins divers nca","Selachimorpha (Pleurotremata)","ELASMOBRANCHS","SHARKS",,"Pisces miscellanea",0,1,0,1,1
"SKJ",,"Skipjack tuna","Listao","Katsuwonus pelamis","TUNAS","TROPICAL","Scombridae","Scombroidei",1,1,0,0,1
"SKX",,"Sharks, rays, skates, etc. nei","Requins, raies, etc. nca","Elasmobranchii","ELASMOBRANCHS","SHARKS",,"Pisces miscellanea",0,,0,1,1
